Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.485,0.390,0.100,0.556,0.222,0.116,0.185,9
M,0.460,0.360,0.125,0.547,0.216,0.111,0.190,8
M,0.460,0.350,0.125,0.516,0.189,0.115,0.185,9
M,0.535,0.420,0.125,0.764,0.312,0.150,0.265,11
M,0.465,0.360,0.105,0.488,0.188,0.085,0.190,10
M,0.510,0.400,0.140,0.691,0.259,0.151,0.230,10
I,0.335,0.260,0.090,0.183,0.078,0.024,0.065,11
M,0.550,0.425,0.160,0.970,0.288,0.139,0.480,20
I,0.180,0.135,0.080,0.033,0.015,0.007,0.010,5
I,0.215,0.165,0.055,0.059,0.026,0.013,0.018,5
I,0.200,0.150,0.040,0.046,0.021,0.007,0.006,4
F,0.625,0.480,0.200,1.323,0.608,0.305,0.355,9
M,0.550,0.420,0.170,0.847,0.336,0.240,0.245,13
M,0.585,0.450,0.150,1.047,0.431,0.276,0.315,14
F,0.645,0.500,0.180,1.278,0.534,0.299,0.345,13
F,0.710,0.530,0.195,1.875,0.675,0.406,0.685,12
F,0.700,0.540,0.215,1.978,0.667,0.312,0.710,24
F,0.655,0.505,0.165,1.367,0.584,0.351,0.396,10
F,0.665,0.500,0.175,1.742,0.595,0.302,0.725,21
F,0.470,0.375,0.105,0.513,0.232,0.142,0.130,11
M,0.425,0.335,0.100,0.408,0.175,0.092,0.135,9
M,0.540,0.410,0.130,0.560,0.237,0.106,0.175,7
M,0.505,0.395,0.125,0.635,0.290,0.155,0.175,9
M,0.535,0.440,0.165,0.875,0.279,0.180,0.300,10
F,0.430,0.350,0.090,0.397,0.158,0.089,0.120,9
M,0.550,0.435,0.110,0.806,0.342,0.203,0.215,9
F,0.340,0.255,0.085,0.204,0.097,0.021,0.050,6
I,0.275,0.200,0.065,0.117,0.057,0.013,0.035,7
F,0.335,0.220,0.070,0.170,0.076,0.036,0.050,6
M,0.640,0.490,0.140,1.194,0.445,0.238,0.375,15
F,0.550,0.440,0.125,0.765,0.330,0.212,0.245,9
F,0.640,0.475,0.190,1.151,0.436,0.281,0.381,13
F,0.545,0.410,0.115,0.676,0.290,0.158,0.220,9
F,0.640,0.540,0.175,1.571,0.627,0.271,0.475,18
M,0.605,0.490,0.155,1.153,0.503,0.251,0.295,15
M,0.605,0.470,0.115,1.114,0.393,0.291,0.310,15
M,0.560,0.450,0.155,0.912,0.359,0.271,0.350,10
F,0.570,0.465,0.155,0.872,0.325,0.239,0.285,14
M,0.525,0.405,0.160,0.792,0.316,0.145,0.280,13
F,0.505,0.405,0.180,0.606,0.239,0.123,0.180,11
M,0.350,0.265,0.090,0.227,0.100,0.058,0.065,6
M,0.450,0.355,0.120,0.396,0.147,0.076,0.145,9
I,0.510,0.405,0.120,0.610,0.229,0.131,0.235,11
F,0.490,0.380,0.130,0.539,0.229,0.136,0.165,12
F,0.505,0.410,0.135,0.657,0.291,0.133,0.195,15
M,0.380,0.300,0.100,0.251,0.106,0.053,0.077,8
I,0.270,0.195,0.070,0.102,0.045,0.013,0.034,8
F,0.370,0.295,0.100,0.269,0.117,0.056,0.084,7
M,0.500,0.385,0.135,0.551,0.225,0.071,0.206,11
M,0.645,0.505,0.165,1.307,0.433,0.262,0.520,10
M,0.565,0.440,0.115,0.918,0.404,0.178,0.290,11
F,0.670,0.545,0.175,1.707,0.700,0.387,0.575,13
F,0.590,0.415,0.150,0.880,0.364,0.234,0.235,11
F,0.470,0.360,0.110,0.496,0.237,0.127,0.130,6
F,0.510,0.385,0.135,0.632,0.282,0.145,0.170,8
M,0.720,0.575,0.230,2.269,0.883,0.399,0.665,16
M,0.550,0.405,0.150,0.923,0.412,0.213,0.240,7
I,0.200,0.145,0.025,0.035,0.011,0.007,0.010,5
M,0.650,0.515,0.180,1.331,0.567,0.347,0.405,13
F,0.525,0.405,0.115,0.720,0.310,0.192,0.200,14
M,0.565,0.435,0.185,1.032,0.354,0.204,0.310,20
F,0.610,0.470,0.160,1.017,0.426,0.226,0.320,12
F,0.545,0.405,0.175,0.980,0.259,0.207,0.380,18
I,0.325,0.245,0.075,0.149,0.060,0.033,0.045,5
I,0.310,0.235,0.075,0.151,0.056,0.032,0.050,7
M,0.450,0.335,0.140,0.478,0.186,0.115,0.160,11
F,0.490,0.380,0.155,0.578,0.239,0.126,0.180,9
F,0.505,0.405,0.160,0.683,0.271,0.145,0.215,10
F,0.385,0.300,0.100,0.273,0.112,0.057,0.080,6
F,0.620,0.485,0.220,1.511,0.509,0.284,0.510,17
F,0.635,0.505,0.185,1.304,0.501,0.295,0.410,17
F,0.665,0.530,0.185,1.395,0.456,0.321,0.490,15
M,0.335,0.265,0.095,0.198,0.080,0.037,0.070,9
I,0.295,0.215,0.075,0.116,0.037,0.029,0.040,8
I,0.480,0.380,0.125,0.523,0.210,0.104,0.175,15
I,0.320,0.250,0.080,0.157,0.057,0.034,0.060,9
I,0.430,0.340,0.125,0.384,0.138,0.061,0.146,14
M,0.565,0.450,0.140,1.006,0.379,0.244,0.265,12
F,0.600,0.480,0.165,1.135,0.454,0.270,0.335,10
F,0.585,0.460,0.170,1.083,0.374,0.326,0.325,14
F,0.555,0.420,0.140,0.868,0.330,0.243,0.210,13
F,0.570,0.495,0.160,1.091,0.452,0.275,0.315,14
F,0.620,0.485,0.175,1.271,0.531,0.307,0.370,11
M,0.630,0.510,0.190,1.498,0.412,0.307,0.545,16
M,0.425,0.340,0.120,0.388,0.149,0.087,0.125,10
F,0.640,0.505,0.190,1.236,0.444,0.310,0.365,14
M,0.675,0.525,0.175,1.402,0.483,0.321,0.465,16
M,0.500,0.400,0.145,0.603,0.216,0.138,0.210,11
M,0.385,0.305,0.090,0.278,0.109,0.051,0.100,9
M,0.520,0.435,0.195,0.973,0.298,0.213,0.355,18
M,0.520,0.415,0.175,0.753,0.258,0.171,0.255,8
M,0.640,0.525,0.200,1.377,0.440,0.307,0.470,16
I,0.440,0.350,0.120,0.375,0.142,0.097,0.115,9
F,0.420,0.320,0.130,0.413,0.165,0.106,0.119,10
F,0.450,0.350,0.135,0.560,0.231,0.137,0.145,13
I,0.420,0.325,0.125,0.392,0.158,0.102,0.115,9
F,0.640,0.505,0.190,1.276,0.483,0.328,0.400,12
M,0.570,0.455,0.150,0.960,0.387,0.238,0.275,11
M,0.410,0.325,0.120,0.374,0.158,0.081,0.125,12
M,0.485,0.410,0.150,0.696,0.240,0.163,0.265,13
F,0.610,0.480,0.190,1.296,0.521,0.323,0.365,12
F,0.590,0.485,0.205,1.232,0.453,0.238,0.420,13
M,0.665,0.535,0.155,1.383,0.596,0.257,0.485,14
I,0.345,0.285,0.100,0.223,0.086,0.058,0.075,8
M,0.635,0.510,0.155,1.156,0.428,0.289,0.315,18
M,0.695,0.530,0.150,1.477,0.637,0.302,0.430,14
F,0.690,0.540,0.185,1.571,0.694,0.318,0.470,15
M,0.555,0.435,0.135,0.858,0.377,0.159,0.290,15
M,0.650,0.525,0.190,1.500,0.626,0.401,0.395,14
M,0.635,0.480,0.190,1.467,0.583,0.303,0.420,15
F,0.655,0.510,0.160,1.092,0.396,0.282,0.370,14
F,0.690,0.555,0.205,1.817,0.778,0.440,0.515,19
F,0.695,0.550,0.160,1.637,0.694,0.300,0.440,13
M,0.550,0.435,0.160,0.906,0.342,0.219,0.295,13
F,0.610,0.495,0.190,1.213,0.464,0.306,0.365,15
M,0.595,0.500,0.165,1.060,0.402,0.280,0.275,11
M,0.300,0.240,0.090,0.161,0.072,0.039,0.050,6
F,0.435,0.350,0.125,0.459,0.197,0.115,0.145,9
I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
M,0.480,0.380,0.130,0.618,0.300,0.142,0.175,12
I,0.430,0.350,0.105,0.366,0.171,0.086,0.110,6
F,0.435,0.350,0.105,0.419,0.194,0.101,0.130,7
I,0.300,0.230,0.075,0.150,0.060,0.042,0.045,5
F,0.575,0.480,0.150,0.875,0.375,0.193,0.290,12
M,0.505,0.385,0.110,0.655,0.319,0.150,0.185,9
M,0.455,0.375,0.125,0.484,0.215,0.102,0.165,7
M,0.640,0.505,0.165,1.444,0.615,0.303,0.390,18
F,0.560,0.435,0.125,0.877,0.335,0.214,0.290,13
F,0.645,0.520,0.190,1.310,0.580,0.288,0.370,12
F,0.595,0.485,0.145,1.252,0.503,0.292,0.330,14
M,0.565,0.450,0.115,0.908,0.398,0.197,0.290,17
F,0.655,0.500,0.140,1.171,0.540,0.318,0.285,12
M,0.480,0.380,0.135,0.528,0.200,0.140,0.160,14
F,0.495,0.385,0.135,0.662,0.300,0.164,0.185,11
F,0.400,0.335,0.115,0.433,0.210,0.120,0.120,10
M,0.410,0.310,0.125,0.359,0.141,0.088,0.115,11
F,0.595,0.465,0.145,1.107,0.402,0.241,0.310,12
F,0.625,0.475,0.130,0.860,0.320,0.177,0.240,13
M,0.520,0.425,0.155,0.773,0.297,0.123,0.255,17
M,0.465,0.360,0.125,0.436,0.169,0.107,0.145,11
F,0.475,0.375,0.140,0.501,0.192,0.117,0.175,13
F,0.500,0.405,0.140,0.673,0.265,0.124,0.250,18
M,0.460,0.355,0.110,0.415,0.215,0.082,0.130,12
M,0.485,0.385,0.125,0.477,0.200,0.079,0.170,12
F,0.465,0.390,0.140,0.555,0.213,0.107,0.215,15
M,0.525,0.415,0.160,0.644,0.260,0.158,0.220,12
F,0.655,0.530,0.190,1.428,0.493,0.318,0.565,18
M,0.690,0.540,0.185,1.619,0.533,0.353,0.555,24
M,0.550,0.450,0.170,0.810,0.317,0.157,0.220,11
F,0.580,0.475,0.165,1.038,0.414,0.260,0.305,13
F,0.590,0.475,0.155,0.972,0.371,0.235,0.280,11
M,0.565,0.440,0.155,0.868,0.348,0.217,0.260,11
F,0.665,0.570,0.185,1.522,0.697,0.302,0.405,13
F,0.620,0.510,0.175,1.125,0.498,0.227,0.315,14
M,0.550,0.460,0.130,0.709,0.305,0.145,0.205,12
F,0.605,0.475,0.145,1.018,0.469,0.225,0.270,15
M,0.535,0.420,0.160,0.720,0.275,0.164,0.225,15
F,0.510,0.395,0.120,0.618,0.262,0.122,0.193,12
M,0.530,0.405,0.130,0.738,0.284,0.170,0.193,9
F,0.495,0.375,0.150,0.597,0.262,0.135,0.178,11
M,0.575,0.455,0.185,1.156,0.552,0.243,0.295,13
F,0.630,0.500,0.160,1.220,0.490,0.300,0.345,14
M,0.590,0.450,0.120,0.749,0.335,0.132,0.220,14
F,0.605,0.485,0.165,1.073,0.437,0.205,0.330,14
M,0.645,0.500,0.190,1.229,0.524,0.278,0.395,17
F,0.620,0.500,0.175,1.146,0.477,0.230,0.390,13
M,0.605,0.485,0.175,1.145,0.432,0.270,0.405,16
F,0.615,0.500,0.205,1.105,0.445,0.227,0.390,16
F,0.660,0.525,0.190,1.670,0.652,0.487,0.490,11
F,0.710,0.575,0.175,1.555,0.646,0.370,0.520,15
F,0.565,0.450,0.185,0.928,0.302,0.180,0.265,12
F,0.570,0.435,0.140,0.808,0.324,0.183,0.220,16
I,0.600,0.445,0.175,1.057,0.383,0.216,0.355,16
I,0.410,0.300,0.115,0.260,0.097,0.051,0.080,10
F,0.450,0.325,0.135,0.438,0.180,0.117,0.110,9
M,0.275,0.200,0.080,0.099,0.037,0.024,0.030,5
I,0.485,0.355,0.120,0.508,0.210,0.122,0.135,9
F,0.620,0.485,0.165,1.166,0.483,0.238,0.355,13
F,0.480,0.380,0.135,0.507,0.192,0.137,0.155,12
F,0.505,0.410,0.150,0.634,0.243,0.134,0.215,17
M,0.400,0.310,0.110,0.314,0.138,0.057,0.100,11
I,0.450,0.355,0.115,0.439,0.184,0.108,0.113,11
M,0.350,0.260,0.090,0.195,0.074,0.041,0.066,9
M,0.440,0.350,0.140,0.451,0.171,0.070,0.184,16
M,0.265,0.200,0.065,0.084,0.034,0.011,0.030,7
M,0.165,0.125,0.040,0.025,0.009,0.004,0.008,4
F,0.705,0.555,0.200,1.468,0.471,0.324,0.520,19
F,0.535,0.425,0.155,0.776,0.302,0.157,0.250,16
I,0.490,0.385,0.140,0.542,0.198,0.127,0.175,11
F,0.480,0.370,0.130,0.589,0.247,0.150,0.160,15
F,0.395,0.300,0.105,0.338,0.143,0.075,0.098,12
I,0.375,0.280,0.100,0.257,0.117,0.059,0.072,12
M,0.345,0.265,0.090,0.163,0.061,0.037,0.049,10
I,0.550,0.415,0.135,0.809,0.298,0.202,0.280,12
I,0.635,0.480,0.200,1.365,0.625,0.260,0.425,16
I,0.575,0.475,0.170,0.967,0.378,0.284,0.275,13
F,0.545,0.435,0.150,0.685,0.290,0.145,0.225,10
F,0.385,0.305,0.125,0.314,0.146,0.056,0.080,10
F,0.510,0.340,0.180,0.701,0.312,0.165,0.200,11
I,0.440,0.340,0.125,0.489,0.173,0.087,0.200,13
I,0.450,0.360,0.125,0.450,0.191,0.086,0.145,12
I,0.390,0.300,0.105,0.259,0.096,0.038,0.085,8
F,0.425,0.325,0.135,0.382,0.146,0.079,0.140,12
F,0.450,0.350,0.125,0.444,0.185,0.090,0.145,11
I,0.660,0.525,0.180,1.694,0.603,0.401,0.420,15
F,0.685,0.525,0.175,1.710,0.541,0.309,0.580,16
F,0.585,0.475,0.185,0.858,0.346,0.178,0.275,12
I,0.540,0.435,0.145,0.970,0.428,0.220,0.264,17
F,0.490,0.390,0.135,0.590,0.215,0.125,0.184,12
M,0.430,0.330,0.095,0.340,0.132,0.085,0.112,14
F,0.455,0.365,0.110,0.385,0.166,0.046,0.135,13
I,0.495,0.380,0.145,0.515,0.175,0.098,0.212,13
F,0.480,0.380,0.145,0.590,0.232,0.141,0.230,12
I,0.470,0.400,0.160,0.510,0.162,0.073,0.198,14
M,0.415,0.320,0.100,0.300,0.121,0.058,0.104,11
I,0.490,0.385,0.115,0.683,0.327,0.162,0.165,13
I,0.470,0.375,0.105,0.468,0.167,0.108,0.170,10
I,0.445,0.345,0.130,0.407,0.137,0.065,0.180,11
F,0.510,0.380,0.130,0.584,0.224,0.136,0.185,13
F,0.520,0.405,0.145,0.829,0.353,0.169,0.205,15
I,0.475,0.365,0.140,0.455,0.171,0.118,0.158,8
F,0.455,0.360,0.110,0.439,0.206,0.098,0.125,10
I,0.435,0.340,0.110,0.407,0.169,0.073,0.130,10
I,0.390,0.300,0.100,0.308,0.139,0.073,0.085,6
I,0.375,0.285,0.100,0.239,0.105,0.056,0.070,8
M,0.285,0.215,0.075,0.106,0.042,0.023,0.035,5
I,0.580,0.445,0.170,1.178,0.394,0.216,0.315,20
F,0.580,0.440,0.175,1.073,0.401,0.234,0.335,19
M,0.410,0.315,0.095,0.306,0.121,0.073,0.090,9
M,0.410,0.300,0.100,0.301,0.124,0.069,0.090,9
I,0.540,0.405,0.150,0.758,0.307,0.207,0.190,10
M,0.330,0.245,0.085,0.171,0.066,0.036,0.055,11
I,0.440,0.310,0.115,0.362,0.134,0.082,0.120,11
M,0.280,0.210,0.065,0.090,0.035,0.020,0.030,5
I,0.590,0.465,0.195,1.089,0.368,0.187,0.375,17
I,0.610,0.480,0.165,1.097,0.421,0.264,0.335,13
I,0.610,0.460,0.170,1.278,0.410,0.257,0.370,17
M,0.455,0.345,0.125,0.440,0.169,0.106,0.135,12
M,0.330,0.235,0.090,0.163,0.061,0.034,0.055,10
I,0.440,0.330,0.135,0.522,0.170,0.090,0.195,16
M,0.540,0.405,0.155,0.972,0.323,0.194,0.290,19
F,0.475,0.375,0.125,0.588,0.237,0.172,0.155,10
F,0.460,0.330,0.150,0.532,0.208,0.180,0.125,10
I,0.310,0.235,0.090,0.127,0.048,0.031,0.040,6
I,0.255,0.190,0.070,0.082,0.028,0.016,0.031,5
M,0.335,0.255,0.075,0.164,0.061,0.035,0.057,8
I,0.295,0.210,0.080,0.100,0.038,0.026,0.031,8
I,0.190,0.130,0.045,0.026,0.009,0.005,0.009,5
M,0.545,0.435,0.165,0.996,0.325,0.267,0.325,19
M,0.495,0.400,0.120,0.660,0.261,0.161,0.190,15
M,0.500,0.375,0.130,0.721,0.305,0.172,0.220,14
F,0.305,0.225,0.070,0.148,0.059,0.034,0.045,7
F,0.475,0.350,0.115,0.487,0.194,0.145,0.125,13
M,0.515,0.400,0.125,0.955,0.341,0.254,0.260,13
M,0.545,0.410,0.145,0.873,0.303,0.196,0.310,18
M,0.740,0.535,0.185,1.650,0.734,0.451,0.335,13
M,0.565,0.465,0.150,1.129,0.377,0.352,0.330,16
M,0.560,0.440,0.160,1.111,0.503,0.279,0.260,10
M,0.545,0.420,0.125,0.975,0.353,0.174,0.305,13
M,0.645,0.515,0.185,1.460,0.584,0.316,0.410,19
M,0.575,0.435,0.130,1.010,0.368,0.222,0.320,10
M,0.620,0.480,0.160,1.077,0.412,0.253,0.300,13
F,0.605,0.450,0.165,1.222,0.357,0.202,0.385,13
M,0.605,0.475,0.160,1.616,0.549,0.332,0.340,18
F,0.475,0.375,0.150,0.559,0.196,0.121,0.195,12
M,0.365,0.285,0.085,0.221,0.086,0.051,0.070,9
F,0.460,0.350,0.115,0.440,0.190,0.102,0.130,8
M,0.530,0.430,0.135,0.879,0.280,0.216,0.250,10
M,0.480,0.395,0.150,0.681,0.214,0.141,0.249,18
M,0.455,0.345,0.150,0.580,0.169,0.125,0.215,13
I,0.350,0.265,0.110,0.209,0.066,0.059,0.075,9
M,0.370,0.280,0.105,0.224,0.082,0.058,0.075,8
I,0.340,0.250,0.075,0.176,0.079,0.041,0.050,7
I,0.350,0.280,0.075,0.196,0.082,0.040,0.064,8
I,0.350,0.265,0.080,0.192,0.081,0.046,0.053,6
I,0.390,0.315,0.090,0.309,0.147,0.050,0.090,7
I,0.395,0.310,0.095,0.313,0.131,0.072,0.093,7
I,0.415,0.310,0.105,0.359,0.167,0.083,0.091,6
I,0.430,0.320,0.100,0.386,0.192,0.074,0.100,7
I,0.480,0.355,0.115,0.579,0.250,0.106,0.184,8
M,0.490,0.395,0.120,0.674,0.333,0.123,0.185,9
F,0.490,0.370,0.105,0.526,0.249,0.101,0.148,7
F,0.560,0.465,0.160,1.032,0.432,0.203,0.337,9
M,0.560,0.450,0.140,0.900,0.472,0.182,0.218,7
M,0.580,0.460,0.150,1.016,0.491,0.221,0.265,9
F,0.580,0.480,0.180,1.250,0.494,0.270,0.371,8
M,0.590,0.470,0.135,1.169,0.539,0.279,0.280,8
F,0.595,0.475,0.165,1.148,0.444,0.214,0.370,10
M,0.600,0.475,0.150,1.089,0.519,0.223,0.292,11
M,0.610,0.470,0.155,1.032,0.497,0.217,0.279,9
F,0.630,0.475,0.150,1.172,0.536,0.254,0.316,11
M,0.640,0.510,0.170,1.371,0.567,0.307,0.409,10
F,0.650,0.545,0.185,1.506,0.656,0.341,0.430,10
M,0.710,0.550,0.200,1.905,0.882,0.440,0.500,13
M,0.740,0.605,0.200,2.493,1.145,0.575,0.523,13
I,0.250,0.180,0.065,0.081,0.035,0.018,0.021,4
I,0.280,0.210,0.065,0.111,0.043,0.029,0.030,6
I,0.325,0.240,0.075,0.152,0.065,0.030,0.045,6
I,0.350,0.265,0.095,0.199,0.073,0.049,0.060,5
I,0.360,0.270,0.090,0.219,0.097,0.041,0.065,6
I,0.365,0.270,0.105,0.215,0.091,0.048,0.063,6
I,0.370,0.280,0.090,0.257,0.126,0.065,0.065,6
I,0.375,0.285,0.090,0.257,0.104,0.062,0.075,7
I,0.380,0.275,0.095,0.251,0.095,0.066,0.075,6
I,0.395,0.300,0.090,0.279,0.134,0.049,0.075,8
I,0.430,0.335,0.105,0.378,0.188,0.079,0.090,6
I,0.440,0.350,0.125,0.456,0.210,0.096,0.131,8
I,0.465,0.370,0.100,0.505,0.234,0.110,0.140,7
F,0.465,0.355,0.115,0.470,0.196,0.118,0.126,7
M,0.480,0.370,0.130,0.643,0.349,0.116,0.135,8
I,0.485,0.370,0.100,0.513,0.219,0.107,0.130,7
F,0.490,0.400,0.115,0.569,0.256,0.133,0.145,9
I,0.495,0.400,0.145,0.578,0.255,0.131,0.165,8
I,0.500,0.385,0.110,0.596,0.301,0.104,0.151,8
F,0.505,0.390,0.120,0.573,0.256,0.133,0.146,8
M,0.520,0.390,0.120,0.643,0.288,0.157,0.161,7
M,0.520,0.395,0.125,0.811,0.404,0.166,0.200,7
F,0.525,0.440,0.125,0.712,0.321,0.159,0.192,7
M,0.550,0.440,0.155,0.915,0.364,0.195,0.250,8
F,0.555,0.440,0.145,0.881,0.430,0.198,0.215,8
F,0.555,0.420,0.110,0.931,0.445,0.171,0.225,8
F,0.575,0.460,0.165,1.065,0.498,0.214,0.281,8
M,0.600,0.475,0.155,1.139,0.502,0.230,0.310,9
F,0.610,0.480,0.160,1.234,0.598,0.238,0.315,12
F,0.610,0.495,0.175,1.264,0.530,0.315,0.345,10
F,0.610,0.470,0.160,1.075,0.492,0.236,0.290,8
M,0.615,0.505,0.190,1.403,0.671,0.292,0.365,8
M,0.620,0.485,0.165,1.133,0.523,0.251,0.282,9
F,0.625,0.495,0.160,1.111,0.450,0.282,0.345,11
F,0.625,0.470,0.170,1.255,0.525,0.241,0.405,10
M,0.625,0.485,0.170,1.437,0.586,0.293,0.475,11
M,0.635,0.495,0.155,1.363,0.583,0.298,0.295,10
F,0.640,0.480,0.195,1.143,0.491,0.234,0.353,9
M,0.640,0.500,0.170,1.454,0.642,0.357,0.354,9
M,0.660,0.525,0.180,1.478,0.582,0.381,0.372,10
F,0.665,0.520,0.165,1.688,0.730,0.407,0.426,11
F,0.715,0.585,0.230,2.072,0.866,0.409,0.565,10
M,0.720,0.565,0.200,1.787,0.718,0.385,0.529,11
F,0.725,0.580,0.185,1.523,0.804,0.359,0.438,9
I,0.165,0.120,0.050,0.021,0.007,0.004,0.014,3
I,0.210,0.150,0.055,0.045,0.020,0.006,0.013,4
I,0.355,0.265,0.085,0.243,0.122,0.052,0.060,6
I,0.400,0.315,0.085,0.268,0.116,0.059,0.076,6
I,0.400,0.290,0.100,0.258,0.104,0.059,0.082,7
I,0.400,0.300,0.110,0.298,0.138,0.071,0.075,6
I,0.435,0.335,0.110,0.411,0.203,0.095,0.100,7
I,0.440,0.330,0.110,0.380,0.197,0.079,0.090,7
I,0.450,0.340,0.105,0.439,0.210,0.092,0.120,8
I,0.465,0.345,0.105,0.402,0.242,0.035,0.109,6
I,0.470,0.355,0.145,0.449,0.156,0.102,0.123,7
I,0.470,0.355,0.115,0.415,0.167,0.084,0.139,7
I,0.475,0.420,0.160,0.710,0.350,0.150,0.184,8
I,0.485,0.370,0.115,0.637,0.380,0.134,0.128,7
F,0.505,0.475,0.160,1.115,0.509,0.239,0.306,8
I,0.510,0.405,0.130,0.599,0.306,0.116,0.148,8
I,0.520,0.380,0.130,0.534,0.237,0.122,0.153,8
F,0.530,0.420,0.140,0.627,0.290,0.117,0.183,8
M,0.535,0.420,0.160,0.747,0.348,0.151,0.218,10
M,0.550,0.440,0.160,0.985,0.465,0.201,0.270,8
M,0.555,0.440,0.145,0.850,0.416,0.169,0.230,8
M,0.555,0.440,0.150,0.838,0.415,0.146,0.230,8
F,0.555,0.430,0.135,0.812,0.406,0.163,0.222,9
M,0.560,0.415,0.130,0.761,0.369,0.170,0.196,8
M,0.575,0.440,0.145,0.870,0.395,0.220,0.225,8
F,0.585,0.450,0.145,0.984,0.484,0.242,0.220,9
M,0.590,0.460,0.145,0.929,0.380,0.240,0.255,10
F,0.595,0.470,0.165,1.016,0.491,0.191,0.289,9
M,0.600,0.410,0.145,0.939,0.448,0.196,0.268,8
M,0.600,0.475,0.160,1.164,0.504,0.264,0.335,12
M,0.610,0.470,0.175,1.214,0.531,0.283,0.325,10
F,0.615,0.490,0.190,1.135,0.469,0.257,0.348,11
F,0.620,0.510,0.180,1.233,0.592,0.274,0.322,10
M,0.625,0.495,0.180,1.081,0.471,0.254,0.314,10
M,0.625,0.470,0.175,1.179,0.605,0.258,0.271,9
F,0.640,0.500,0.165,1.163,0.554,0.239,0.320,11
F,0.640,0.475,0.175,1.155,0.486,0.341,0.288,9
F,0.645,0.520,0.175,1.335,0.667,0.267,0.355,10
M,0.650,0.505,0.180,1.469,0.712,0.334,0.380,9
M,0.655,0.520,0.180,1.492,0.719,0.360,0.355,11
F,0.655,0.540,0.175,1.558,0.729,0.402,0.385,11
F,0.660,0.500,0.175,1.327,0.556,0.281,0.408,9
M,0.670,0.525,0.180,1.661,0.800,0.364,0.430,10
F,0.690,0.525,0.190,1.492,0.642,0.391,0.420,12
F,0.700,0.575,0.200,1.736,0.775,0.397,0.461,11
F,0.700,0.560,0.175,1.661,0.861,0.328,0.398,11
M,0.710,0.570,0.195,1.348,0.898,0.444,0.454,11
M,0.715,0.545,0.180,1.740,0.871,0.347,0.449,10
F,0.720,0.545,0.185,1.718,0.792,0.401,0.468,11
I,0.215,0.150,0.055,0.041,0.015,0.009,0.013,3
I,0.240,0.185,0.060,0.066,0.029,0.001,0.020,4
I,0.260,0.205,0.070,0.097,0.042,0.019,0.030,4
I,0.320,0.240,0.085,0.131,0.061,0.026,0.038,6
I,0.330,0.230,0.085,0.170,0.079,0.026,0.051,6
I,0.335,0.260,0.085,0.192,0.097,0.030,0.054,6
I,0.350,0.260,0.090,0.176,0.072,0.035,0.058,7
I,0.350,0.265,0.085,0.173,0.077,0.034,0.056,6
I,0.360,0.265,0.075,0.178,0.079,0.035,0.054,6
I,0.360,0.265,0.090,0.205,0.096,0.037,0.059,7
I,0.365,0.275,0.090,0.234,0.108,0.051,0.062,7
I,0.380,0.285,0.090,0.231,0.101,0.039,0.077,7
I,0.400,0.310,0.115,0.314,0.154,0.059,0.087,6
I,0.400,0.315,0.090,0.330,0.151,0.068,0.080,6
I,0.400,0.265,0.100,0.278,0.124,0.060,0.080,9
I,0.425,0.325,0.110,0.405,0.170,0.092,0.106,8
I,0.430,0.325,0.105,0.309,0.119,0.080,0.098,6
M,0.435,0.335,0.110,0.439,0.207,0.071,0.132,7
I,0.435,0.340,0.120,0.396,0.177,0.081,0.125,8
I,0.445,0.355,0.095,0.361,0.141,0.079,0.120,8
I,0.450,0.350,0.110,0.514,0.253,0.104,0.140,8
I,0.455,0.435,0.110,0.426,0.195,0.090,0.120,8
I,0.460,0.340,0.090,0.384,0.179,0.068,0.110,8
I,0.475,0.355,0.125,0.486,0.215,0.111,0.142,9
I,0.475,0.360,0.135,0.435,0.196,0.092,0.125,8
I,0.475,0.350,0.115,0.498,0.237,0.099,0.140,7
I,0.480,0.355,0.125,0.494,0.238,0.084,0.150,9
F,0.495,0.370,0.120,0.594,0.280,0.110,0.138,7
I,0.500,0.365,0.125,0.528,0.229,0.103,0.165,9
M,0.505,0.390,0.115,0.558,0.258,0.119,0.153,8
I,0.515,0.400,0.135,0.636,0.305,0.121,0.185,9
I,0.525,0.390,0.105,0.567,0.287,0.107,0.160,8
I,0.530,0.405,0.130,0.661,0.294,0.140,0.190,9
I,0.530,0.420,0.130,0.658,0.296,0.124,0.198,8
M,0.535,0.415,0.135,0.780,0.317,0.169,0.236,8
I,0.535,0.410,0.130,0.608,0.268,0.122,0.198,9
I,0.540,0.410,0.135,0.703,0.310,0.177,0.200,8
I,0.550,0.425,0.155,0.873,0.412,0.187,0.242,10
F,0.565,0.450,0.175,1.236,0.530,0.245,0.308,10
M,0.570,0.470,0.155,1.186,0.635,0.232,0.277,10
I,0.570,0.420,0.130,0.774,0.353,0.150,0.236,9
F,0.570,0.420,0.160,0.887,0.431,0.192,0.223,8
I,0.575,0.455,0.155,0.873,0.349,0.209,0.285,8
I,0.575,0.440,0.125,0.852,0.456,0.172,0.197,9
F,0.575,0.475,0.160,0.895,0.360,0.221,0.271,9
M,0.575,0.450,0.155,0.886,0.360,0.211,0.258,9
I,0.580,0.460,0.140,0.926,0.413,0.184,0.270,10
I,0.580,0.460,0.140,0.830,0.392,0.165,0.238,10
